directory,log_path,dataset,raw_config,canonical_config,seed,avg_acc1,task_count,expected_task_count,complete,eligible_method,source_priority,debug_priority,sha256,size_bytes,selected,exclusion_reason
debug_exp_cifar100_10-10_antB0_nceA1_antLocal_nceLocal_s1993,logs/debug_exp_cifar100_10-10_antB0_nceA1_antLocal_nceLocal_s1993/exp_gistlog.log,cifar100_10-10,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1993,78.1,10,10,True,True,2,1,ed2ddedf3839466b4fbcbaea4ddc833f17f1901296020f5b7a6437ddc638c529,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_10-10_antB0_nceA1_antLocal_nceLocal_s1994,logs/debug_exp_cifar100_10-10_antB0_nceA1_antLocal_nceLocal_s1994/exp_gistlog.log,cifar100_10-10,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1994,79.25,10,10,True,True,2,1,5916ec6f33efe8437dd5bb8104554e744bb10af172d28cd88befbae164a28f5e,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_10-10_antB0_nceA1_antLocal_nceLocal_s1995,logs/debug_exp_cifar100_10-10_antB0_nceA1_antLocal_nceLocal_s1995/exp_gistlog.log,cifar100_10-10,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1995,79.45,10,10,True,True,2,1,34607d280ab3bb02d40bccc92d9475bdf8eb385e86576c8c59e26fb201a72d83,7108,False,lower_priority_equivalent_run
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antGlobal_nceGlobal_s1993,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antGlobal_nceGlobal_s1993/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antGlobal_nceGlobal,antB0.5_nceA1_antM0.5_antGlobal,s1993,76.71,6,6,True,True,1,1,2fbe72952ba9089b7e37d287966c24dc0053f8e96571753a3ecd57e3b2fdf5d4,3763,True,
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceGlobal_s1993,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceGlobal_s1993/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antLocal_nceGlobal,antB0.5_nceA1_antM0.5_antLocal,s1993,76.44,6,6,True,True,1,1,e53dfbd9e5fc5bd4f94bbc36699e9c2e3fe7555405ce318907187d2ca1c66b7b,3763,True,
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1993,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1993/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1993,76.6,6,6,True,True,2,1,534fff950e9d2b4503ee9668f9e9c3d55b29f3cb96b09ab7c6b7f98882f219ad,3763,False,lower_priority_equivalent_run
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1994,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1994/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1994,77.43,6,6,True,True,2,1,147c16bbd8bb2104e6dae29b4fade249aa9c4f386e07d3623ac5cd6054eeb59b,3763,False,lower_priority_equivalent_run
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1995,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1995/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1995,76.99,6,6,True,True,2,1,5ce9142c478d90f05df7e0b84e6ab82c9d6872ab262ec69a2b83047a1ea2221b,3763,False,lower_priority_equivalent_run
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1993,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1993/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1993,76.99,6,6,True,True,2,1,c6594e5a4c01dcb47a1791a860753bf5732a3724bc87ccae33892dc51539f1d3,3763,True,
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1994,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1994/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1994,77.48,6,6,True,True,2,1,fd77a43dcbff9e096eaff61867944fc7ad8feef294888d67b85ad5f085b78103,3763,True,
debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1995,logs/debug_exp_cifar100_50-10_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1995/exp_gistlog.log,cifar100_50-10,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1995,77.06,6,6,True,True,2,1,b7b818fabfc823480ff462f0784289c423bd0f0311377a4a78244098ff902bf7,3763,True,
debug_exp_cifar100_50-10_antB0_nceA1_antGlobal_nceGlobal_s1993,logs/debug_exp_cifar100_50-10_antB0_nceA1_antGlobal_nceGlobal_s1993/exp_gistlog.log,cifar100_50-10,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1993,76.37,6,6,True,True,1,1,cb9f297b6ef209e889b43359d69eac73945ab12890aeac6833cc7b79d5454e36,3763,True,
debug_exp_cifar100_50-10_antB0_nceA1_antGlobal_nceGlobal_s1994,logs/debug_exp_cifar100_50-10_antB0_nceA1_antGlobal_nceGlobal_s1994/exp_gistlog.log,cifar100_50-10,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1994,77.53,6,6,True,True,1,1,10a822131ff2843fd0e8080665978b157df13124572e257f53ab148000e4baa9,5863,True,
debug_exp_cifar100_50-10_antB0_nceA1_antGlobal_nceGlobal_s1995,logs/debug_exp_cifar100_50-10_antB0_nceA1_antGlobal_nceGlobal_s1995/exp_gistlog.log,cifar100_50-10,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1995,77.07,6,6,True,True,1,1,0bf07d46443d2aeb96d6a3add0c095503934230d243859e2324849ddac95ae4f,5861,True,
debug_exp_cifar100_50-10_antB0_nceA1_antLocal_nceLocal_s1993,logs/debug_exp_cifar100_50-10_antB0_nceA1_antLocal_nceLocal_s1993/exp_gistlog.log,cifar100_50-10,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1993,76.52,6,6,True,True,2,1,f7993603f873ddef5326bcb853f5a30a7cf0d7f0f40e553c780bd0352c3a195d,3763,False,lower_priority_equivalent_run
debug_exp_cifar100_50-10_antB0_nceA1_antLocal_nceLocal_s1994,logs/debug_exp_cifar100_50-10_antB0_nceA1_antLocal_nceLocal_s1994/exp_gistlog.log,cifar100_50-10,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1994,77.22,6,6,True,True,2,1,4068675697e1806cc6b02abd63cbfa18fb333ffb7403e20cab50dba25d9b5847,3763,False,lower_priority_equivalent_run
debug_exp_cifar100_50-10_antB0_nceA1_antLocal_nceLocal_s1995,logs/debug_exp_cifar100_50-10_antB0_nceA1_antLocal_nceLocal_s1995/exp_gistlog.log,cifar100_50-10,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1995,77.07,6,6,True,True,2,1,bdbfeece761d42fd9eb5d9eac9f8998fb9796e30c75d15efa4d253e107451f29,3763,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1993,logs/debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1993/exp_gistlog.log,tiny_imagenet_100-20,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1993,61.46,6,6,True,True,2,1,d206b11eb1471c42323d78ad96456bb4e9ccb5e9e8c8beb43439df1b1b10b8f3,5868,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1994,logs/debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1994/exp_gistlog.log,tiny_imagenet_100-20,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1994,61.17,6,6,True,True,2,1,c0a661d2036eec35329cc71dff0867f9177d6874ed83b6b26f7fc62de9ffaf6f,5868,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1995,logs/debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antLocal_nceLocal_s1995/exp_gistlog.log,tiny_imagenet_100-20,antB0.5_nceA1_antM0.5_antLocal_nceLocal,antB0.5_nceA1_antM0.5_antLocal,s1995,60.58,6,6,True,True,2,1,1dfa1f1351daf3edc6d0ab66aaf52b49d6b96deb50f7e74e0daf5707b3b7b349,5868,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1993,logs/debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1993/exp_gistlog.log,tiny_imagenet_100-20,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1993,61.72,6,6,True,True,2,1,9488b365d84ac7042e36775be4c4610cae9551f174e32d4c1772010c248e17c6,5866,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1994,logs/debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1994/exp_gistlog.log,tiny_imagenet_100-20,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1994,61.38,6,6,True,True,2,1,400c51e6d4d957f1223b1c4e6510488e1555e7550b70e2be4c3754ad24c1472e,5869,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1995,logs/debug_exp_tiny_imagenet_100-20_antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal_s1995/exp_gistlog.log,tiny_imagenet_100-20,antB0.5_nceA1_antM0.5_antSymmetricFull_nceLocal,antB0.5_nceA1_antM0.5_antSymmetricFull,s1995,61.07,6,6,True,True,2,1,143648e9f1c28c34ab40df2e6e97f2f7018d2320bba18852f6e0c50ceef86493,5866,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0_nceA1_antGlobal_nceGlobal_s1993,logs/debug_exp_tiny_imagenet_100-20_antB0_nceA1_antGlobal_nceGlobal_s1993/exp_gistlog.log,tiny_imagenet_100-20,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1993,59.04,6,6,True,True,1,1,e580b20f0f81faf9e155012bb650594751834088297ba42ae3f2cffc5c919a96,5869,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0_nceA1_antGlobal_nceGlobal_s1994,logs/debug_exp_tiny_imagenet_100-20_antB0_nceA1_antGlobal_nceGlobal_s1994/exp_gistlog.log,tiny_imagenet_100-20,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1994,59.74,6,6,True,True,1,1,f4fa8ad858e0510a8ff4fe6221128f3987af66d805e1dbde5600f090b486fafb,5869,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0_nceA1_antGlobal_nceGlobal_s1995,logs/debug_exp_tiny_imagenet_100-20_antB0_nceA1_antGlobal_nceGlobal_s1995/exp_gistlog.log,tiny_imagenet_100-20,antB0_nceA1_antGlobal_nceGlobal,antB0_nceA1_baselineInfoNCE,s1995,60.2,6,6,True,True,1,1,c8d59b1f6c5be35f8de1bf1805fa29dbef56807c7664da6512df1a577949fa7c,5868,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0_nceA1_antLocal_nceLocal_s1993,logs/debug_exp_tiny_imagenet_100-20_antB0_nceA1_antLocal_nceLocal_s1993/exp_gistlog.log,tiny_imagenet_100-20,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1993,59.7,6,6,True,True,2,1,58489fa7fafd6be311d9ba74920bcbfba977de3cef21ba870f90a4d424515150,3763,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0_nceA1_antLocal_nceLocal_s1994,logs/debug_exp_tiny_imagenet_100-20_antB0_nceA1_antLocal_nceLocal_s1994/exp_gistlog.log,tiny_imagenet_100-20,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1994,59.2,6,6,True,True,2,1,ad92c64903d5ceb40902e88fee5662329871e2ceeb72656cb2a795726c561c1a,5869,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_100-20_antB0_nceA1_antLocal_nceLocal_s1995,logs/debug_exp_tiny_imagenet_100-20_antB0_nceA1_antLocal_nceLocal_s1995/exp_gistlog.log,tiny_imagenet_100-20,antB0_nceA1_antLocal_nceLocal,antB0_nceA1_baselineInfoNCE,s1995,60.16,6,6,True,True,2,1,3807285bdab258f2b05d5edd08456d343cd9db47bfe8184184e3b3ab549dea21,5870,False,lower_priority_equivalent_run
debug_exp_tiny_imagenet_20-20_antB0.5_nceA1_antM0.5_antGlobal_nceGlobal_s1993,logs/debug_exp_tiny_imagenet_20-20_antB0.5_nceA1_antM0.5_antGlobal_nceGlobal_s1993/exp_gistlog.log,tiny_imagenet_20-20,antB0.5_nceA1_antM0.5_antGlobal_nceGlobal,antB0.5_nceA1_antM0.5_antGlobal,s1993,60.17,10,10,True,True,1,1,e760b3d6b79a16ed24968737d47edb16859b57de2afb9b9c08c57ac2cace9490,7108,True,
