task,epoch,loss_type,pos_mean,neg_mean,gap,violation_pct,ant_loss,nll,ant_loss_w,total,batches,run_idx
1,32,contrast,0.6559878594249201,0.06412492012779553,0.5918648562300319,0.5,38.77188498402556,2.2366169329073484,1.4418127795527156,3.6784335463258784,313,31
1,33,contrast,0.6528054313099042,0.0644664536741214,0.5883396166134185,0.5,39.33428115015974,2.227182108626198,1.442090734824281,3.669273801916933,313,32
1,34,contrast,0.6565249201277955,0.047212779552715654,0.6093140575079873,0.5,38.00654952076677,2.178665814696486,1.4405392971246007,3.61920447284345,313,33
1,35,contrast,0.6510642172523962,0.07829584664536741,0.5727670926517572,0.5,39.78230031948882,2.2674952076677317,1.4426476038338658,3.710137380191693,313,34
1,36,contrast,0.6499654952076678,0.05594249201277956,0.5940220447284345,0.5,38.846869009584665,2.220582108626198,1.4413846645367412,3.661961341853035,313,35
1,37,contrast,0.6514038338658147,0.047030031948881786,0.604370926517572,0.5,38.433993610223645,2.188269009584664,1.4410019169329074,3.6292706070287544,313,36
1,38,contrast,0.659050159744409,0.04890255591054313,0.610149840255591,0.5,37.902715654952075,2.1614415335463257,1.4402827476038338,3.6017230031948886,313,37
1,39,contrast,0.6509712460063898,0.06405303514376998,0.5869172523961661,0.5,39.15086261980831,2.229211821086262,1.4421568690095847,3.6713677316293927,313,38
1,40,contrast,0.6582178913738019,0.0458591054313099,0.6123587859424919,0.5,38.10140575079872,2.1581610223642174,1.4405498402555912,3.598708626198083,313,39
1,41,contrast,0.6549782747603834,0.03920191693290735,0.6157709265175719,0.5,38.0855910543131,2.135079872204473,1.4400338658146965,3.5751111821086266,313,40
